"","pi","min","perc_01","perc_05","perc_10","median","interquartile_range","mean","sd","perc_90","perc_95","perc_99","max","pi_names","body_system_categories"
"1","BMXBMI",18,18,19,21,46,33,46.8764274524939,19.361868467838,75,80,85,85,"Body Mass Index (kg/m**2)","Body Composition"
"2","BMXHT",18,18,19,21,46,33,46.8894057080925,19.3781741659146,75,80,85,85,"Standing Height (cm)","Body Composition"
"3","BMXSUB",18,18,19,20,45,35,46.7556684613635,20.1200352003291,76,80,85,85,"Subscapular Skinfold (mm)","Body Composition"
"4","BMXTRI",18,18,19,20,45,34,46.8510930793991,19.8414850468867,76,80,85,85,"Triceps Skinfold (mm)","Body Composition"
"5","BMXWAIST",18,18,19,21,45,32,46.657220734057,19.2600405801106,74,80,85,85,"Waist Circumference (cm)","Body Composition"
"6","BMXWT",18,18,19,21,46,33,46.9804670720955,19.4148559712059,75,80,85,85,"Weight (kg)","Body Composition"
"7","BPXPLS",18,18,19,21,46,33,47.1399865575822,19.4724603867123,75,80,85,85,"60 sec. pulse (30 sec. pulse * 2)","Cardiovascular System"
"8","LBDHDD",18,18,19,21,46,33,47.1200142365642,19.3961952478035,75,80,85,85,"Direct HDL-Cholesterol (mg/dL)","Cardiovascular System"
"9","LBDLDL",18,18,19,21,46,33,47.2305544272949,19.4443374028816,75,80,85,85,"LDL-cholesterol (mg/dL)","Cardiovascular System"
"10","LBXCRP",18,18,19,21,46,33,47.0896499142258,19.7387011548842,76,80,85,85,"C-reactive protein (mg/dL)","Immune System"
"11","LBXGH",18,18,19,21,46,33,47.1921841667253,19.42059886832,75,80,85,85,"Glycohemoglobin (%)","Metabolic System"
"12","LBXGLU",18,18,19,21,46,33,47.3199884376355,19.4251440824682,75,80,85,85,"Glucose, plasma (mg/dL)","Metabolic System"
"13","LBXSAL",18,18,19,21,46,33,47.1117956280774,19.3931620074866,75,80,85,85,"Albumin (g/dL)","Nephrology"
"14","LBXSAPSI",18,18,19,21,46,33,47.2689874277025,19.2825615094817,75,80,85,85,"Alkaline phosphatase (U/L)","Metabolic System"
"15","LBXSBU",18,18,19,21,46,33,47.1101146581664,19.3927332913403,75,80,85,85,"Blood urea nitrogen (mg/dL)","Nephrology"
"16","LBXSCR",18,18,19,21,46,33,47.2706415791046,19.2828639427295,75,80,85,85,"Creatinine (mg/dL)","Nephrology"
"17","LBXSTR",18,18,19,21,46,33,47.1141891570279,19.3936392341713,75,80,85,85,"Triglycerides (mg/dL)","Cardiovascular System"
"18","LBXTC",18,18,19,21,46,33,47.1219066600232,19.397049234237,75,80,85,85,"Total cholesterol (mg/dL)","Cardiovascular System"
"19","LBXWBCSI",18,18,19,21,46,33,47.1944125705454,19.4202203327715,75,80,85,85,"White blood cell count (1000 cells/uL)","Immune System"
"20","VNAVEBPXDI",18,18,19,21,46,33,46.9995310338359,19.3931330016932,75,80,85,85,"Diastolic: Average blood pressure (mm Hg)","Cardiovascular System"
"21","VNAVEBPXSY",18,18,19,21,46,33,47.0968494204893,19.4494266118749,75,80,85,85,"Systolic: Average blood pressure (mm Hg)","Cardiovascular System"
"22","VNEGFR",18,18,19,21,46,33,47.2706415791046,19.2828639427295,75,80,85,85,"Estimated Glomerular Filtration Rate (mL/min/1.73 m2)","Nephrology"
"23","VNHOMAIR",18,18,19,21,46,33,47.1720935500311,19.5494644735298,75,80,85,85,"Homeostatic Model Assessment of Insulin Resistance (-)","Metabolic System"
"24","VNINGLURATIO",18,18,19,21,46,33,47.1720935500311,19.5494644735298,75,80,85,85,"Ratio of Insulin to Glucose (uU*dL)/(mg*mL)","Metabolic System"
"25","VNLDHDLRATIO",18,18,19,21,46,33,47.2305544272949,19.4443374028816,75,80,85,85,"Ratio of LDL to HDL Cholesterol (-)","Cardiovascular System"
"26","VNRFPI",18,18,19,21,45,32,46.5741897466117,19.2179534919153,74,80,85,85,"Relative Fat Mass Index (-)","Body Composition"
"27","VNTOTHDRATIO",18,18,19,21,46,33,47.1201119969628,19.3964149868208,75,80,85,85,"Ratio of Total to HDL Cholesterol (-)","Cardiovascular System"
